tweet_id,date_created,favorite_count,retweet_count
823322678127919110,Mon Jan 23 00:13:17 +0000 2017,14779,3710
823269594223824897,Sun Jan 22 20:42:21 +0000 2017,0,9191
822975315408461824,Sun Jan 22 01:12:59 +0000 2017,16331,3193
822872901745569793,Sat Jan 21 18:26:02 +0000 2017,123635,39801
822859134160621569,Sat Jan 21 17:31:20 +0000 2017,12413,2107
822647212903690241,Sat Jan 21 03:29:14 +0000 2017,0,5938
822610361945911296,Sat Jan 21 01:02:48 +0000 2017,13922,2723
822489057087389700,Fri Jan 20 17:00:46 +0000 2017,17052,5938
822462944365645825,Fri Jan 20 15:17:01 +0000 2017,26203,13089
822244816520155136,Fri Jan 20 00:50:15 +0000 2017,33012,9191
